Date,Open,High,Low,Close,Adj Close,Volume
2019-11-20,53400.0,53400.0,52800.0,52800.0,52800.0,0
2019-11-20,52800.0,52900.0,52400.0,52500.0,52500.0,1492512
2019-11-20,52500.0,52500.0,52300.0,52400.0,52400.0,1081706
2019-11-20,52400.0,52400.0,52000.0,52100.0,52100.0,1143484
2019-11-20,52100.0,52400.0,52000.0,52300.0,52300.0,1279628
2019-11-20,52200.0,52500.0,52000.0,52200.0,52200.0,1967422
2019-11-21,51600.0,52100.0,51000.0,51100.0,51100.0,0
2019-11-21,51100.0,51200.0,50800.0,51000.0,51000.0,1818195
2019-11-21,50900.0,51200.0,50800.0,51000.0,51000.0,1606905
2019-11-21,51000.0,51100.0,50900.0,51000.0,51000.0,802856
2019-11-21,50900.0,51100.0,50700.0,50700.0,50700.0,1916155
2019-11-21,50700.0,50800.0,50600.0,50700.0,50700.0,2593965
2019-11-22,51000.0,51400.0,50900.0,51300.0,51300.0,0
2019-11-22,51300.0,51600.0,51200.0,51400.0,51400.0,947623
2019-11-22,51400.0,51500.0,51300.0,51500.0,51500.0,767842
2019-11-22,51500.0,51600.0,51400.0,51500.0,51500.0,806197
2019-11-22,51400.0,51500.0,51300.0,51500.0,51500.0,1091051
2019-11-22,51400.0,51600.0,51300.0,51600.0,51600.0,938837
2019-11-25,52200.0,52600.0,52100.0,52500.0,52500.0,0
2019-11-25,52400.0,52600.0,52300.0,52400.0,52400.0,847450
2019-11-25,52400.0,52500.0,52300.0,52300.0,52300.0,594547
2019-11-25,52300.0,52400.0,52100.0,52300.0,52300.0,870170
2019-11-25,52300.0,52300.0,52000.0,52200.0,52200.0,1061051
2019-11-25,52100.0,52200.0,51800.0,51900.0,51900.0,1574664
2019-11-26,51900.0,52800.0,51900.0,52700.0,52700.0,0
2019-11-26,52700.0,52900.0,52500.0,52900.0,52900.0,1794941
2019-11-26,52800.0,52900.0,52500.0,52600.0,52600.0,876320
2019-11-26,52500.0,52700.0,52500.0,52600.0,52600.0,397692
2019-11-26,52700.0,52800.0,52600.0,52800.0,52800.0,928547
2019-11-26,52800.0,52800.0,52200.0,52300.0,52300.0,1949852
2019-11-27,51800.0,52200.0,51600.0,51800.0,51800.0,0
2019-11-27,51900.0,52000.0,51800.0,52000.0,52000.0,720464
2019-11-27,52000.0,52200.0,51900.0,52100.0,52100.0,734254
2019-11-27,52200.0,52300.0,52000.0,52100.0,52100.0,529561
2019-11-27,52100.0,52300.0,52000.0,52200.0,52200.0,749967
2019-11-27,52200.0,52300.0,52100.0,52100.0,52100.0,956907
2019-11-28,51900.0,52100.0,51700.0,51900.0,51900.0,0
2019-11-28,51900.0,52000.0,51800.0,51900.0,51900.0,576837
2019-11-28,51900.0,51900.0,51700.0,51900.0,51900.0,445683
2019-11-28,51900.0,51900.0,51700.0,51800.0,51800.0,419481
2019-11-28,51800.0,51800.0,51700.0,51800.0,51800.0,385349
2019-11-28,51700.0,51800.0,51500.0,51600.0,51600.0,1356752
2019-11-29,51200.0,51400.0,50700.0,50800.0,50800.0,0
2019-11-29,50800.0,50800.0,50300.0,50400.0,50400.0,1709621
2019-11-29,50400.0,50600.0,50300.0,50400.0,50400.0,824176
2019-11-29,50400.0,50500.0,50200.0,50400.0,50400.0,979270
2019-11-29,50300.0,50500.0,50300.0,50500.0,50500.0,1007006
2019-11-29,50400.0,50500.0,50300.0,50300.0,50300.0,1651409
2019-12-02,50900.0,51300.0,50700.0,51200.0,51200.0,0
2019-12-02,51100.0,51200.0,50700.0,50700.0,50700.0,1405487
2019-12-02,50700.0,50900.0,50600.0,50900.0,50900.0,927087
2019-12-02,50900.0,50900.0,50600.0,50700.0,50700.0,656324
2019-12-02,50700.0,50800.0,50600.0,50700.0,50700.0,1068759
2019-12-02,50600.0,50700.0,50400.0,50600.0,50600.0,1496852
2019-12-03,49800.0,50100.0,49500.0,49850.0,49850.0,0
2019-12-03,49900.0,50000.0,49650.0,49800.0,49800.0,1672687
2019-12-03,49800.0,50100.0,49800.0,50000.0,50000.0,934160
2019-12-03,50000.0,50300.0,49950.0,50000.0,50000.0,905254
2019-12-03,50000.0,50200.0,49900.0,50000.0,50000.0,1490894
2019-12-03,50000.0,50100.0,49900.0,50100.0,50100.0,1575542
2019-12-04,49600.0,49750.0,49200.0,49250.0,49250.0,0
2019-12-04,49300.0,49350.0,49000.0,49200.0,49200.0,1706032
2019-12-04,49200.0,49300.0,49100.0,49150.0,49150.0,1123070
